"","idn","used","elkuid","migrant","migcode","year","daynight","Night","season","bioseason","utmx","utmy","elevgis","slope","northsl","flatslo","southsl","caspv","v23","celev","v25","hshade2","wetness","green","distdiv","landcov","landtype","totalshrub","totalforb","totalherb","ctotrisk","ctotrisk2","riskforage","for2","risk2","elkuidF"
"1",26540,1,73,"Migrant",1,2004,"Night",1,"summer","s04",544112.8,5714053,1950,29.21,1,0,0,2,10,4,12,72,10.27,9,3.82,8,"Shrubs",0,53,91,0.00037744,1.42e-07,0.034347,8281,1.42e-07,"73"
"2",16500,1,78,"Migrant",1,2004,"Night",1,"summer","s04",558758.5,5703733,2169,21.64,0,0,1,5,10,3,10,217,10.67,10,9.51,8,"Shrubs",415,56,90,0.00088534,7.84e-07,0.0796803,8100,7.84e-07,"78"
"3",18228,1,78,"Migrant",1,2004,"Night",1,"summer","s04",559644.9,5699787,1922,17.14,0,0,1,3,10,3,11,210,10.28,9,9.96,8,"Shrubs",425,53,91,0.00093215,8.69e-07,0.0848261,8281,8.69e-07,"78"
"4",12199,1,96,"Migrant",1,2004,"Day",0,"summer","s04",573832.5,5741766,2136,26.29,0,0,1,3,10,4,10,240,10.76,9,44.31,7,"Herbaceous",227,63,91,0.00095381,9.1e-07,0.0867966,8281,9.1e-07,"96"
"5",16259,1,73,"Migrant",1,2004,"Night",1,"summer","s04",545251.9,5713114,1858,15.6,1,0,0,2,10,3,11,130,10.85,9,3.86,8,"Shrubs",484,49,89,0.00064756,4.19e-07,0.0576325,7921,4.19e-07,"73"
"6",11820,1,59,"Migrant",1,2004,"Day",0,"summer","s04",573836.3,5741912,2186,22.7,0,0,1,3,10,4,10,235,10.56,9,44.42,7,"Herbaceous",229,64,90,0.00111038,1.23e-06,0.0999344,8100,1.23e-06,"59"
"7",11838,1,59,"Migrant",1,2004,"Day",0,"summer","s04",573835.1,5741896,2177,22.71,0,0,1,3,10,4,10,235,10.66,9,44.4,7,"Herbaceous",230,64,90,0.00115785,1.34e-06,0.1042068,8100,1.34e-06,"59"
"8",22804,1,96,"Migrant",1,2004,"Day",0,"summer","s04",574287.3,5741380,2124,27.4,0,0,1,2,10,4,9,243,10.71,8,44.36,7,"Herbaceous",211,64,89,0.0008406,7.07e-07,0.0748132,7921,7.07e-07,"96"
"9",14758,1,73,"Migrant",1,2004,"Day",0,"summer","s04",547748,5707639,2004,37.76,1,0,0,6,10,5,11,40,11.76,9,5.1,8,"Shrubs",646,55,93,0.00013032,1.7e-08,0.0121194,8649,1.7e-08,"73"
"10",20287,1,74,"Migrant",1,2004,"Day",0,"summer","s04",579742.5,5708554,2329,33.61,0,0,1,6,10,4,11,172,9.29,9,31.04,16,"Alpine-Shrubs",273,74,92,0.00095101,9.04e-07,0.0874929,8464,9.04e-07,"74"
"11",20869,1,74,"Migrant",1,2004,"Day",0,"summer","s04",579739.3,5708568,2340,32.95,0,0,1,6,10,4,11,170,9.53,7,31.01,16,"Alpine-Shrubs",273,74,92,0.00097844,9.57e-07,0.0900161,8464,9.57e-07,"74"
"12",13781,1,93,"Migrant",1,2004,"Day",0,"summer","s04",596527.3,5708014,2057,33.04,0,0,1,4,10,4,7,184,7.92,8,42.82,7,"Herbaceous",213,64,90,0.0015218,2.32e-06,0.1369618,8100,2.32e-06,"93"
"13",22949,1,78,"Migrant",1,2004,"Night",1,"summer","s04",559131.3,5700194,1880,13.91,0,0,1,4,10,3,11,218,12.16,9,9.44,8,"Shrubs",433,49,89,0.00111701,1.25e-06,0.0994138,7921,1.25e-06,"78"
"14",20879,1,92,"Migrant",1,2004,"Night",1,"summer","s04",579714.8,5708488,2291,32.16,0,0,1,7,10,4,11,169,9.46,9,30.98,16,"Alpine-Shrubs",279,74,93,0.00050384,2.54e-07,0.0468571,8649,2.54e-07,"92"
"15",12139,1,59,"Migrant",1,2004,"Night",1,"summer","s04",573789.7,5741888,2159,24.15,0,0,1,3,10,4,10,238,10.54,9,44.35,7,"Herbaceous",226,64,91,0.00175728,3.09e-06,0.1599122,8281,3.09e-06,"59"
"16",12123,1,59,"Migrant",1,2004,"Night",1,"summer","s04",573798.5,5741913,2168,23.14,0,0,1,3,10,4,10,236,10.54,8,44.37,7,"Herbaceous",229,64,90,0.00188798,3.56e-06,0.1699184,8100,3.56e-06,"59"
"17",12809,1,93,"Migrant",1,2004,"Night",1,"summer","s04",597864.4,5710494,2067,31.57,1,0,0,5,10,4,7,71,7.28,7,45.58,7,"Herbaceous",346,64,90,0.00192701,3.71e-06,0.1734309,8100,3.71e-06,"93"
"18",25772,1,74,"Migrant",1,2004,"Day",0,"summer","s04",601902.8,5726577,2110,26.93,0,0,1,9,10,3,8,166,9.08,9,58.2,7,"Herbaceous",0,65,90,0.00196223,3.85e-06,0.1766003,8100,3.85e-06,"74"
"19",25533,1,74,"Migrant",1,2004,"Day",0,"summer","s04",602021.3,5726800,2117,34.88,1,0,0,9,10,3,8,59,8.54,8,58.41,8,"Shrubs",0,64,88,0.00076962,5.92e-07,0.0677262,7744,5.92e-07,"74"
"20",24060,1,93,"Migrant",1,2004,"Day",0,"summer","s04",596802.9,5709529,2196,27.53,0,0,1,8,10,3,7,206,9.53,8,44.16,7,"Herbaceous",231,66,90,0.00210226,4.42e-06,0.189203,8100,4.42e-06,"93"
"21",11699,1,59,"Migrant",1,2004,"Day",0,"summer","s04",574128.5,5741592,2147,26.76,0,0,1,1,10,5,9,241,10.78,8,44.38,7,"Herbaceous",221,61,88,0.00090131,8.12e-07,0.0793149,7744,8.12e-07,"59"
"22",12714,1,93,"Migrant",1,2004,"Day",0,"summer","s04",598072.9,5710101,1941,26.32,0,0,1,5,10,3,7,144,9.29,8,45.41,7,"Herbaceous",259,60,89,0.0017815,3.17e-06,0.1585537,7921,3.17e-06,"93"
"23",18655,1,93,"Migrant",1,2004,"Night",1,"summer","s04",590995.5,5704610,2273,28.71,0,0,1,6,10,4,8,231,10.11,9,36.73,12,"Burn-Forest",151,69,91,0.00227399,5.17e-06,0.2069335,8281,5.17e-06,"93"
"24",27152,1,78,"Migrant",1,2004,"Night",1,"summer","s04",558817.7,5699925,1790,15.24,0,0,1,3,10,3,10,218,10.66,9,9.12,8,"Shrubs",0,50,93,0.00107056,1.15e-06,0.099562,8649,1.15e-06,"78"
"26",18669,1,93,"Migrant",1,2004,"Night",1,"summer","s04",590999.3,5704637,2276,29.02,0,0,1,6,10,4,8,232,9.58,9,36.75,12,"Burn-Forest",144,70,92,0.00224725,5.05e-06,0.2067468,8464,5.05e-06,"93"
"27",24070,1,93,"Migrant",1,2004,"Day",0,"summer","s04",596771.2,5709517,2199,27.03,0,0,1,8,10,3,7,208,9.87,8,44.14,7,"Herbaceous",233,65,89,0.00218322,4.77e-06,0.1943068,7921,4.77e-06,"93"
"28",15647,1,93,"Migrant",1,2004,"Night",1,"summer","s04",596656.5,5711527,2093,33.42,0,0,1,7,10,2,6,248,9,8,45.66,7,"Herbaceous",173,63,89,0.00238636,5.69e-06,0.2123865,7921,5.69e-06,"93"
"29",25600,1,73,"Migrant",1,2004,"Night",1,"summer","s04",546485,5711456,1756,1.9,0,1,0,3,10,1,12,175,14.01,9,4.27,8,"Shrubs",0,47,89,0.00250048,6.25e-06,0.2225425,7921,6.25e-06,"73"
"30",17370,1,73,"Migrant",1,2004,"Day",0,"summer","s04",546910.8,5708609,2112,22.11,1,0,0,5,10,5,10,103,13.49,8,4.09,7,"Herbaceous",335,56,87,0.00038522,1.48e-07,0.0335143,7569,1.48e-07,"73"
"31",25227,1,59,"Migrant",1,2004,"Night",1,"summer","s04",574239.5,5739824,2253,16.46,1,0,0,5,10,4,12,126,8.71,9,43.25,16,"Alpine-Shrubs",286,75,93,0.00192375,3.7e-06,0.1789091,8649,3.7e-06,"59"
"32",13249,1,93,"Migrant",1,2004,"Day",0,"summer","s04",596470.5,5708119,2124,30.66,0,0,1,4,10,4,7,196,8.01,8,42.85,7,"Herbaceous",204,64,88,0.00190988,3.65e-06,0.1680692,7744,3.65e-06,"93"
"33",12788,1,93,"Migrant",1,2004,"Day",0,"summer","s04",597803.1,5710516,2092,19.29,1,0,0,5,10,4,7,127,8.54,8,45.57,7,"Herbaceous",276,65,90,0.00356322,1.27e-05,0.3206896,8100,1.27e-05,"93"
"34",25829,1,74,"Migrant",1,2004,"Night",1,"summer","s04",601855.2,5726648,2156,24.98,0,0,1,9,10,3,8,175,8.66,9,58.21,7,"Herbaceous",0,65,89,0.00322239,1.04e-05,0.2867929,7921,1.04e-05,"74"
"35",14000,1,93,"Migrant",1,2004,"Night",1,"summer","s04",597288.3,5709690,2108,31.52,0,0,1,5,10,4,7,140,8.38,8,44.58,7,"Herbaceous",260,64,88,0.00249488,6.22e-06,0.2195492,7744,6.22e-06,"93"
"37",25834,1,74,"Migrant",1,2004,"Night",1,"summer","s04",601817.9,5726626,2160,21.65,0,0,1,9,10,3,8,174,8.41,9,58.14,7,"Herbaceous",0,65,89,0.00346018,1.2e-05,0.3079557,7921,1.2e-05,"74"
"38",14991,1,93,"Migrant",1,2004,"Day",0,"summer","s04",597814.5,5710509,2092,19.29,1,0,0,5,10,4,7,127,8.54,8,45.57,7,"Herbaceous",282,66,92,0.00356322,1.27e-05,0.3278161,8464,1.27e-05,"93"
"39",13793,1,93,"Migrant",1,2004,"Day",0,"summer","s04",596674.6,5708177,2099,33.29,0,0,1,4,10,4,7,166,8.83,8,43.03,7,"Herbaceous",240,62,87,0.00143,2.04e-06,0.1244098,7569,2.04e-06,"93"
"40",21339,1,74,"Migrant",1,2004,"Night",1,"summer","s04",582033.7,5706146,2190,20.41,1,0,0,6,10,5,9,144,7.79,8,32.77,7,"Herbaceous",304,67,94,0.00161935,2.62e-06,0.1522187,8836,2.62e-06,"74"
"42",25810,1,104,"Migrant",1,2004,"Night",1,"summer","s04",581643.6,5749476,2158,26.24,1,0,0,9,10,3,9,128,7.5,6,55.28,13,"Burn-Grassland",0,81,90,0.00420773,1.77e-05,0.3786955,8100,1.77e-05,"104"
"43",17749,1,73,"Migrant",1,2004,"Night",1,"summer","s04",546992.6,5709043,1970,29.21,1,0,0,2,10,5,10,72,9.32,9,4.17,8,"Shrubs",560,56,95,0.00017197,2.96e-08,0.0163376,9025,2.96e-08,"73"
"44",15474,1,93,"Migrant",1,2004,"Day",0,"summer","s04",590839.4,5705856,2392,28.83,0,0,1,7,10,5,10,216,9.7,8,37.65,13,"Burn-Grassland",13,67,92,0.00389389,1.52e-05,0.358238,8464,1.52e-05,"93"
"45",27157,1,73,"Migrant",1,2004,"Night",1,"summer","s04",546913.9,5709322,1935,28.31,1,0,0,2,10,4,10,73,9.9,9,4.08,8,"Shrubs",0,55,95,0.0001896,3.59e-08,0.0180121,9025,3.59e-08,"73"
